epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6321,0.62683,1.42757,1.24327,0.5536,1,0.96773,0.80722,0.38662,4.76345,0.58935,0.00062,0.00062,0.00062
2,88.668,0.51826,0.69847,1.16509,0.45533,0.94118,0.68011,0.38455,1.42349,8.37133,1.9048,0.00123505,0.00123505,0.00123505
3,122.438,0.51582,0.58692,1.15228,0.55693,0.64706,0.63836,0.34844,1.59136,3.23263,1.49644,0.00182476,0.00182476,0.00182476
4,155.203,0.52726,0.5636,1.15526,0.81668,0.91733,0.92406,0.35186,1.54618,1.64094,2.42074,0.0018812,0.0018812,0.0018812
5,188.466,0.50332,0.50266,1.1406,0.4536,0.26471,0.31327,0.18049,1.88819,3.50149,2.02659,0.0018416,0.0018416,0.0018416
6,223.739,0.47823,0.443,1.13191,0.8175,0.92243,0.93348,0.82686,0.62636,1.14573,0.69925,0.001802,0.001802,0.001802
7,261.38,0.44003,0.43541,1.10957,1,0.99358,0.995,0.83192,0.74616,0.91946,1.05334,0.0017624,0.0017624,0.0017624
8,299.239,0.46716,0.46065,1.12632,0.74353,0.42671,0.47562,0.27915,1.98394,2.40535,1.85107,0.0017228,0.0017228,0.0017228
9,337.42,0.42158,0.44201,1.07561,0.571,0.7831,0.67724,0.41174,1.05527,2.14085,1.19235,0.0016832,0.0016832,0.0016832
10,378.315,0.42893,0.39837,1.10764,1,0.99303,0.995,0.79442,0.58432,0.7951,0.85967,0.0016436,0.0016436,0.0016436
11,420.571,0.39624,0.37693,1.07689,0.99792,1,0.995,0.995,0.184,0.48236,0.3019,0.001604,0.001604,0.001604
12,465.489,0.40739,0.38318,1.07231,0.99684,1,0.995,0.96924,0.26601,0.54967,0.36464,0.0015644,0.0015644,0.0015644
13,504.498,0.38723,0.35413,1.0637,0.99772,1,0.995,0.98741,0.30116,0.42639,0.4125,0.0015248,0.0015248,0.0015248
14,547.363,0.39549,0.37875,1.08652,0.99845,1,0.995,0.993,0.27694,0.37937,0.39542,0.0014852,0.0014852,0.0014852
15,593.345,0.38847,0.37222,1.0851,0.99851,1,0.995,0.989,0.30392,0.45392,0.46107,0.0014456,0.0014456,0.0014456
16,641.697,0.37175,0.33018,1.06269,0.99009,1,0.995,0.98874,0.26095,0.40345,0.41237,0.001406,0.001406,0.001406
17,686.405,0.38502,0.32804,1.06792,0.99754,1,0.995,0.995,0.28136,0.44014,0.43865,0.0013664,0.0013664,0.0013664
18,729.406,0.38006,0.33469,1.0635,0.99639,1,0.995,0.995,0.29115,0.48191,0.46037,0.0013268,0.0013268,0.0013268
19,773.489,0.34724,0.31424,1.05649,0.99682,1,0.995,0.97012,0.37376,0.49303,0.55158,0.0012872,0.0012872,0.0012872
20,822.478,0.37176,0.33363,1.06344,0.99825,1,0.995,0.995,0.22569,0.33397,0.35679,0.0012476,0.0012476,0.0012476
21,869.747,0.34964,0.30052,1.05786,0.99847,1,0.995,0.995,0.24623,0.30623,0.36032,0.001208,0.001208,0.001208
22,914.546,0.30872,0.27556,1.02463,0.99844,1,0.995,0.995,0.1999,0.34262,0.30172,0.0011684,0.0011684,0.0011684
23,958.15,0.32281,0.27792,1.04166,0.99849,1,0.995,0.995,0.22156,0.4065,0.33565,0.0011288,0.0011288,0.0011288
24,1003.23,0.28847,0.25433,1.02696,0.99837,1,0.995,0.995,0.16388,0.22615,0.2619,0.0010892,0.0010892,0.0010892
25,1047.24,0.31609,0.26978,1.02339,0.99792,1,0.995,0.995,0.23306,0.4279,0.3621,0.0010496,0.0010496,0.0010496
26,1091.17,0.33072,0.28341,1.0342,0.99821,1,0.995,0.995,0.2583,0.50379,0.37485,0.00101,0.00101,0.00101
