epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6322,1.59737,1.61663,0.87108,0.94841,0.21814,0.32287,0.15878,1.47245,1.37935,0.85164,0.000405702,0.000405702,0.000405702
2,78.734,1.47879,0.94506,0.82262,0.76664,0.46038,0.55796,0.29371,1.30348,0.97238,0.83871,0.000806086,0.000806086,0.000806086
3,117.754,1.42853,0.8861,0.82026,0.73087,0.59808,0.59775,0.34337,1.27667,0.92034,0.83066,0.00118997,0.00118997,0.00118997
4,166.334,1.45038,0.83108,0.81738,0.77375,0.6517,0.6662,0.40066,1.15236,0.79355,0.82572,0.00117575,0.00117575,0.00117575
5,213.25,1.34661,0.76655,0.81875,0.79938,0.60341,0.65602,0.35309,1.321,0.76941,0.835,0.001151,0.001151,0.001151
6,256.053,1.42672,0.79282,0.81349,0.61418,0.65158,0.65751,0.36293,1.18777,0.77669,0.82269,0.00112625,0.00112625,0.00112625
7,298.312,1.31427,0.73243,0.8112,0.71175,0.69583,0.72843,0.43343,1.10851,0.64326,0.81997,0.0011015,0.0011015,0.0011015
8,342.785,1.3005,0.71782,0.80707,0.78211,0.72397,0.73809,0.44497,1.08433,0.60176,0.81973,0.00107675,0.00107675,0.00107675
9,392.326,1.25931,0.68111,0.79876,0.78308,0.66841,0.72774,0.45394,1.07635,0.60334,0.8185,0.001052,0.001052,0.001052
10,442.114,1.26977,0.67597,0.79925,0.79451,0.69089,0.74619,0.45604,1.0873,0.61549,0.81618,0.00102725,0.00102725,0.00102725
11,490.268,1.28074,0.66445,0.79341,0.90065,0.68149,0.75239,0.45551,1.07694,0.60325,0.81174,0.0010025,0.0010025,0.0010025
12,537.356,1.21747,0.63861,0.79198,0.84751,0.68529,0.74967,0.46485,1.06263,0.60881,0.8114,0.00097775,0.00097775,0.00097775
13,585.233,1.22042,0.66328,0.79861,0.76524,0.71237,0.73877,0.45262,1.12002,0.57481,0.81358,0.000953,0.000953,0.000953
14,632.472,1.22991,0.63215,0.79457,0.88079,0.71699,0.77268,0.48299,1.0323,0.55259,0.81049,0.00092825,0.00092825,0.00092825
15,679.73,1.19457,0.5992,0.79088,0.83955,0.74008,0.77351,0.50346,1.03587,0.54491,0.81013,0.0009035,0.0009035,0.0009035
16,727.354,1.16609,0.59125,0.79683,0.82648,0.71059,0.77248,0.497,0.97609,0.51697,0.80721,0.00087875,0.00087875,0.00087875
17,775.021,1.13367,0.57947,0.79429,0.85599,0.69746,0.76506,0.49609,1.00895,0.54577,0.80386,0.000854,0.000854,0.000854
18,825.385,1.13609,0.58572,0.79294,0.8295,0.72788,0.77057,0.50194,0.97198,0.52938,0.80342,0.00082925,0.00082925,0.00082925
19,873.65,1.09921,0.55903,0.78982,0.81639,0.70523,0.75931,0.50499,0.95845,0.51273,0.8056,0.0008045,0.0008045,0.0008045
20,921.597,1.12041,0.57391,0.78841,0.80492,0.74613,0.75489,0.49875,0.96874,0.54075,0.80421,0.00077975,0.00077975,0.00077975
21,969.394,1.13871,0.566,0.79099,0.82054,0.75739,0.79235,0.50663,0.96687,0.50862,0.80746,0.000755,0.000755,0.000755
22,1016.91,1.12238,0.55223,0.78877,0.86074,0.75699,0.80284,0.51363,0.99857,0.50745,0.80762,0.00073025,0.00073025,0.00073025
23,1065.87,1.10549,0.54219,0.78625,0.82812,0.77202,0.79684,0.53005,0.93758,0.48569,0.80026,0.0007055,0.0007055,0.0007055
24,1114.7,1.06221,0.52575,0.7899,0.87509,0.76537,0.79689,0.5201,0.97104,0.49132,0.8038,0.00068075,0.00068075,0.00068075
25,1163.39,1.08569,0.53133,0.78003,0.87165,0.74546,0.80716,0.53017,0.93433,0.48102,0.80445,0.000656,0.000656,0.000656
26,1211.79,1.08462,0.52859,0.78789,0.8663,0.75973,0.80242,0.52404,0.94257,0.48448,0.80118,0.00063125,0.00063125,0.00063125
27,1260.1,1.07422,0.5281,0.77833,0.8627,0.75028,0.79281,0.51298,0.93423,0.48848,0.80122,0.0006065,0.0006065,0.0006065
28,1304.75,1.07671,0.51791,0.77773,0.8973,0.76862,0.80868,0.5307,0.92805,0.46891,0.80028,0.00058175,0.00058175,0.00058175
29,1348.51,1.0677,0.51566,0.78585,0.90657,0.74095,0.78962,0.52867,0.92168,0.46294,0.80244,0.000557,0.000557,0.000557
30,1392.07,1.06731,0.51515,0.78022,0.87338,0.76913,0.81165,0.52621,0.96607,0.4732,0.7996,0.00053225,0.00053225,0.00053225
31,1435.68,1.08456,0.51592,0.77603,0.83245,0.79914,0.80733,0.53544,0.91675,0.4695,0.7977,0.0005075,0.0005075,0.0005075
32,1479.81,1.07596,0.50098,0.77766,0.89734,0.76077,0.81339,0.53902,0.90682,0.45535,0.80075,0.00048275,0.00048275,0.00048275
33,1522.65,1.02749,0.49496,0.77712,0.85975,0.77166,0.80852,0.54585,0.8943,0.4626,0.79971,0.000458,0.000458,0.000458
34,1567.28,1.00262,0.48719,0.78333,0.88464,0.75913,0.81136,0.55081,0.88827,0.46131,0.79714,0.00043325,0.00043325,0.00043325
35,1611.01,1.06688,0.50205,0.7749,0.91936,0.74106,0.80666,0.54585,0.87982,0.4424,0.7987,0.0004085,0.0004085,0.0004085
36,1653.87,1.02398,0.49036,0.77718,0.85147,0.76938,0.79279,0.54184,0.90931,0.46693,0.79653,0.00038375,0.00038375,0.00038375
37,1697.49,1.02459,0.49295,0.77644,0.88488,0.77366,0.80768,0.53785,0.90804,0.44708,0.79696,0.000359,0.000359,0.000359
38,1740.92,1.01629,0.48386,0.77623,0.876,0.78456,0.81855,0.54775,0.88947,0.45089,0.79776,0.00033425,0.00033425,0.00033425
39,1784.16,1.00585,0.48535,0.77867,0.90853,0.77394,0.81437,0.55341,0.85418,0.44164,0.79842,0.0003095,0.0003095,0.0003095
40,1827.9,0.97634,0.46627,0.77822,0.87514,0.77015,0.81081,0.54485,0.84589,0.43586,0.79474,0.00028475,0.00028475,0.00028475
41,1869.81,0.89358,0.44483,0.77971,0.86172,0.7673,0.81139,0.53642,0.85539,0.44128,0.79511,0.00026,0.00026,0.00026
42,1911.26,0.86699,0.44092,0.78548,0.88205,0.78862,0.8185,0.54458,0.87068,0.45123,0.79977,0.00023525,0.00023525,0.00023525
43,1953.17,0.90085,0.44754,0.78027,0.92013,0.77541,0.82519,0.55298,0.86196,0.44085,0.79668,0.0002105,0.0002105,0.0002105
44,1994.84,0.87134,0.44005,0.7833,0.93164,0.76872,0.82456,0.54595,0.8941,0.45019,0.79721,0.00018575,0.00018575,0.00018575
45,2036.31,0.88008,0.44019,0.77938,0.8751,0.78609,0.81796,0.5458,0.867,0.43897,0.7988,0.000161,0.000161,0.000161
46,2077.83,0.87948,0.43753,0.78088,0.91619,0.77542,0.81141,0.55177,0.85609,0.43639,0.79798,0.00013625,0.00013625,0.00013625
47,2119.76,0.85139,0.42949,0.78215,0.88156,0.77241,0.81474,0.55978,0.84987,0.42622,0.79755,0.0001115,0.0001115,0.0001115
48,2161.87,0.84413,0.4191,0.7849,0.87729,0.7824,0.81798,0.5618,0.85084,0.42568,0.7965,8.675e-05,8.675e-05,8.675e-05
49,2203.54,0.85565,0.42357,0.78032,0.88554,0.78152,0.82226,0.55681,0.84756,0.42711,0.79723,6.2e-05,6.2e-05,6.2e-05
50,2245.04,0.85774,0.42421,0.78045,0.90999,0.77856,0.82197,0.56022,0.84948,0.42846,0.7965,3.725e-05,3.725e-05,3.725e-05
