epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4455,0.8821,10.5619,0.6829,0.98409,1.43442,0.76647,0.97059,0.9697,0.81844,0,0,0,0,0.58672,11.6762,0.67021,2.25605,1.23339,0.00062,0.00062,0.00062
2,82.9602,0.71008,10.1734,0.58664,0.57219,1.28715,0.23859,0.97059,0.24306,0.15597,0,0,0,0,0.99858,11.1136,0.82582,226.836,1.58703,0.00123505,0.00123505,0.00123505
3,127.923,0.65235,10.3512,0.54332,0.54272,1.23993,0.75376,0.85294,0.87158,0.49183,0,0,0,0,1.22456,11.7025,1.23127,2.34008,1.74037,0.00182476,0.00182476,0.00182476
4,183.669,0.74368,10.1882,0.52063,0.5971,1.2893,0.91206,1,0.98897,0.70051,0,0,0,0,1.02313,11.3245,0.97087,1.25564,1.73669,0.0018812,0.0018812,0.0018812
5,241.998,0.63441,10.089,0.51175,0.53751,1.22415,0.05521,0.79412,0.04853,0.01783,0,0,0,0,2.17798,11.468,1.03854,37.7097,2.45063,0.0018416,0.0018416,0.0018416
6,293.008,0.62631,10.0033,0.49116,0.5775,1.22833,0.9431,0.97515,0.99389,0.81032,0,0,0,0,0.68139,11.3587,1.06583,0.72554,1.1646,0.001802,0.001802,0.001802
7,343.989,0.59569,9.96649,0.49109,0.52281,1.16939,0.89275,0.97946,0.95663,0.81663,0,0,0,0,0.61841,11.306,0.92213,0.86309,1.03398,0.0017624,0.0017624,0.0017624
8,394.205,0.6016,10.0837,0.47559,0.51525,1.18983,0.9965,1,0.995,0.92903,0,0,0,0,0.46227,10.7108,0.86174,0.39584,0.87298,0.0017228,0.0017228,0.0017228
9,444.799,0.51585,10.0108,0.47011,0.46632,1.10766,0.99032,1,0.995,0.89439,0,0,0,0,0.583,11.1654,0.89154,0.54553,0.94021,0.0016832,0.0016832,0.0016832
10,494.406,0.53362,9.63292,0.45854,0.45409,1.13184,0.98458,1,0.995,0.8977,0,0,0,0,0.53108,10.1911,0.6992,0.55436,0.90602,0.0016436,0.0016436,0.0016436
11,547.559,0.51828,9.6458,0.44405,0.45666,1.13293,1,0.99683,0.995,0.84579,0,0,0,0,0.52065,10.4302,0.91473,0.54546,0.93212,0.001604,0.001604,0.001604
12,603.855,0.49108,9.493,0.43213,0.44002,1.10491,0.94202,0.95592,0.98947,0.8415,0,0,0,0,0.55966,10.4698,0.64551,0.53809,0.90002,0.0015644,0.0015644,0.0015644
13,662.622,0.46507,9.48934,0.42867,0.43327,1.07901,0.78438,0.85603,0.90465,0.73416,0,0,0,0,0.57731,10.5332,0.70355,1.10163,0.86818,0.0015248,0.0015248,0.0015248
14,714.824,0.48755,9.12112,0.41222,0.42658,1.1152,0.98158,1,0.995,0.90834,0,0,0,0,0.52837,8.75385,0.5694,0.50546,0.95408,0.0014852,0.0014852,0.0014852
15,766.865,0.52917,8.881,0.39657,0.46054,1.1519,0.99141,1,0.995,0.92749,0,0,0,0,0.42426,9.29129,0.57803,0.47714,0.7959,0.0014456,0.0014456,0.0014456
16,828.449,0.4433,8.66931,0.39911,0.41725,1.0911,0.99659,1,0.995,0.92299,0.05879,0.05882,0.00846,0.00169,0.41794,8.53516,0.44726,0.39941,0.74259,0.001406,0.001406,0.001406
17,886.855,0.49383,8.61356,0.37254,0.41871,1.12445,0.99723,1,0.995,0.94626,0,0,0,0,0.39676,8.28683,0.41568,0.3934,0.7188,0.0013664,0.0013664,0.0013664
18,957.879,0.44118,8.31211,0.36867,0.40735,1.07746,0.98328,1,0.995,0.91552,0,0,0,0,0.57214,8.25077,0.38962,0.68656,0.88327,0.0013268,0.0013268,0.0013268
19,1013.26,0.424,8.02083,0.36183,0.39268,1.05324,0.99783,1,0.995,0.95306,0.02939,0.02941,0.00121,0.00014,0.40144,9.10548,0.71061,0.32472,0.79163,0.0012872,0.0012872,0.0012872
20,1067.64,0.41289,7.95054,0.35132,0.399,1.06575,0.98816,1,0.995,0.93961,0,0,0,0,0.37831,7.49881,0.37525,0.32812,0.74368,0.0012476,0.0012476,0.0012476
21,1123.71,0.42579,7.38614,0.35258,0.3942,1.07418,0.99643,1,0.995,0.93073,0.01942,0.05882,0.00137,0.00027,0.44015,7.01023,0.43081,0.36763,0.77223,0.001208,0.001208,0.001208
22,1183.77,0.38535,7.31956,0.35689,0.3856,1.04806,0.96923,1,0.99443,0.94782,0.41935,0.41176,0.24797,0.05332,0.49929,6.03793,0.35471,0.41249,0.80549,0.0011684,0.0011684,0.0011684
23,1245.13,0.37176,7.34591,0.34793,0.36192,1.02518,0.99842,1,0.995,0.96125,0.12006,0.11765,0.02032,0.00616,0.34568,6.47646,0.40184,0.32874,0.6707,0.0011288,0.0011288,0.0011288
24,1300.73,0.37853,6.78725,0.3399,0.35963,1.03798,0.99796,1,0.995,0.95558,0.44047,0.38235,0.2559,0.07835,0.33825,5.41844,0.44001,0.40461,0.6835,0.0010892,0.0010892,0.0010892
25,1358.47,0.37269,6.90361,0.33088,0.37174,1.02602,0.99769,1,0.995,0.96313,0.29338,0.29412,0.11659,0.01639,0.36593,5.50274,0.42106,0.33045,0.69692,0.0010496,0.0010496,0.0010496
26,1414.41,0.38627,7.24329,0.32382,0.35788,1.05662,0.99828,1,0.995,0.97346,0.2645,0.26471,0.08195,0.01642,0.33192,6.06096,0.35864,0.33344,0.66144,0.00101,0.00101,0.00101
27,1474.82,0.39066,6.69387,0.32737,0.36749,1.04201,0.99752,1,0.995,0.9467,0.29363,0.29412,0.10172,0.01311,0.37472,4.8717,0.35773,0.32114,0.73309,0.0009704,0.0009704,0.0009704
28,1535.73,0.36598,6.68249,0.32592,0.34565,1.01482,0.99204,1,0.995,0.95876,0.32044,0.32353,0.10515,0.0167,0.30697,5.38234,0.36986,0.30372,0.64909,0.0009308,0.0009308,0.0009308
29,1597.66,0.35577,6.34947,0.3207,0.34345,1.03413,0.96991,1,0.995,0.97076,0.40212,0.41176,0.2065,0.03129,0.31069,4.84024,0.41569,0.33736,0.63571,0.0008912,0.0008912,0.0008912
30,1657.58,0.34653,6.38886,0.3173,0.34101,1.021,0.99818,1,0.995,0.98016,0.49909,0.5,0.2475,0.04029,0.32786,4.22159,0.36518,0.33839,0.6667,0.0008516,0.0008516,0.0008516
31,1714.53,0.35421,6.2066,0.30564,0.33591,1.0363,0.99835,1,0.995,0.95506,0.55784,0.55882,0.31882,0.05832,0.37007,4.36488,0.36968,0.30711,0.70741,0.000812,0.000812,0.000812
